Input Size,S,Key Comparisons,CPU Time
10000,1,120372,0.03297200007364154
10000,5,121450,0.02568590035662055
10000,10,127101,0.024421399924904108
10000,15,127101,0.023711400106549263
10000,20,144264,0.02392179984599352
10000,25,144264,0.025181100238114595
10000,30,144264,0.025431800168007612
10000,40,183972,0.029177500400692225
10000,50,183972,0.02923629991710186
100000,1,1536387,0.42221689969301224
100000,5,1536780,0.3675198997370899
100000,10,1557419,0.3431209996342659
100000,15,1638216,0.3077464997768402
100000,20,1638216,0.2882206002250314
100000,25,1862316,0.2549867001362145
100000,30,1862316,0.25178040005266666
100000,40,1862316,0.29331659991294146
100000,50,2379910,0.35699549969285727
1000000,1,18673888,4.046758099924773
1000000,5,18728179,3.336666100192815
1000000,10,19074428,3.2288420000113547
1000000,15,19889381,3.2836576998233795
1000000,20,20225265,3.336293399799615
1000000,25,20225265,3.399512799922377
1000000,30,21603415,3.3986888001672924
1000000,40,23193587,3.5300472998060286
1000000,50,23193587,3.345113799907267
5000000,1,105048711,24.655105900019407
5000000,5,105554961,23.07700389996171
5000000,10,108210731,22.009324199985713
5000000,15,108210731,21.377327099908143
5000000,20,116146568,26.832183400169015
5000000,25,116146568,22.152429199777544
5000000,30,116146568,21.00333769991994
5000000,40,135597779,21.448068600147963
5000000,50,135597779,22.52803419996053
10000000,1,220099725,59.43986519984901
10000000,5,221108960,48.47437509987503
10000000,10,226417560,43.96493159979582
10000000,15,226417560,44.164009500294924
10000000,20,242307872,44.62792359990999
10000000,25,242307872,44.22970540029928
10000000,30,242307872,44.18101149983704
10000000,40,281250362,47.34545279992744
10000000,50,281250362,46.98564020032063
