n,S,comparisons,cpu_time_s
1000000,1,18674717,1.811773
1000000,2,18674717,1.656039
1000000,4,18727672,1.555580
1000000,6,18727672,1.567289
1000000,8,19073464,1.512319
1000000,10,19073464,1.513410
1000000,12,19073464,1.509900
1000000,16,20221703,1.517119
1000000,20,20221703,1.520122
1000000,24,20221703,1.525074
1000000,32,23181790,1.613521
1000000,40,23181790,1.627341
1000000,50,23181790,1.622845
1000000,64,29892513,1.911497
1000000,80,29892513,1.912053
1000000,100,29892513,1.918919
1000000,128,44183110,2.579774
1000000,160,44183110,2.567972
1000000,200,44183110,2.563205
1000000,256,73741090,3.900016
